budget,casting,director,distributor,duration,entries,film_id,genres,img_src,nationality,release,synopsis,title
,Antoine de Maximy|Alice Pol|Max Boublil|Stephan Wojtowicz|Léon Plazol|Alexandre Ionescu|Lola Cès,Antoine de Maximy,Apollo Films,96,50838,274282,Comédie|Thriller,https://fr.web.img2.acsta.net/c_310_420/pictures/20/07/02/16/55/3219386.jpg,France,2020-09-16,"L’histoire commence par un banal accident de voiture sur une route montagneuse des Carpates. La voiture d'Antoine de Maximy, le présentateur de la série ""J'irai dormir chez vous"" a été emportée dans une rivière et son corps n’a pas été retrouvé. Le matériel et les images du globe-squatteur sont rapatriés à Paris. Agnès, la monteuse de la série, décide de terminer ce dernier épisode. Après avoir visionné les images elle s’attaque au montage du film. Mais des détails attirent l'attention d'Agnès. Petit à petit le doute s'insinue. L’histoire n’est peut-être pas aussi simple...",J’irai mourir dans les Carpates
,Alexandra Lamy|Miou-Miou|Jonathan Zaccaï|Patrick Mille|Guillaume Bouchède|Thomas Dutronc|Léa Léviant|Michel Ferracci,Méliane Marcaggi,UGC Distribution,96,141458,267703,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/20/07/01/09/37/0173630.jpg,France,2020-08-19,"Découvrant que son mari la trompe, Louise décide de penser enfin à elle et part décompresser en Corse le temps d’un week-end. Elle passe une folle nuit avec un bel inconnu... Une seule puisque, au petit matin, il ne se réveille pas. Andréa, la mère de celui-ci,  débarque sur les lieux et prend immédiatement Louise pour la belle-fille dont elle a toujours rêvé! Prise au piège, Louise va devoir jouer le rôle de la belle-fille idéale pour quelques jours. Problème : sa nouvelle belle-mère ne veut plus la lâcher...",Belle-Fille
,Jean-Paul Rouve|Djibril Vancoppenolle|Dayla De Medina|Isabelle Kabano|Tao Monladja|Ruben Ruhanamilindi|Brian Gakwavu|Kenny Hubbawiwe,Eric Barbier,Pathé,113,101776,269704,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/20/01/30/09/38/1317655.jpg,France|Belgique,2020-08-28,"Dans les années 1990, un petit garçon vit au Burundi avec son père, un entrepreneur français, sa mère rwandaise et sa petite soeur. Il passe son temps à faire les quatre cents coups avec ses copains de classe jusqu'à ce que la guerre civile éclate mettant une fin à l'innocence de son enfance.",Petit Pays
,Aloïs Agaësse-Mahieu|Arielle Vaubien|Hannah Vaubien|Oscar Douieb|Emmanuel Garijo|Nicolas Justamon|Diana Amft,Toby Genkel|Xavier Giacometti,Bac Films,82,82379,261097,Aventure|Animation|Famille,https://fr.web.img4.acsta.net/c_310_420/pictures/20/06/05/09/26/0477347.jpg,France|Allemagne|Belgique,2020-08-12,"Alors que la migration de sa tribu est imminente, Yakari le petit Sioux part vers l'inconnu pour suivre la piste de Petit-Tonnerre, un mustang réputé indomptable. En chemin, Yakari fera la rencontre magique de Grand-Aigle, son animal totem, de qui il recevra une superbe plume... et un don incroyable : pouvoir parler aux animaux. Seul pour la première fois, sa quête va l'entraîner à travers les plaines, jusqu'au territoire des terribles chasseurs à peaux de puma... Mais comment retrouver la trace du tipi ? Au bout du voyage, le souffle de l'aventure scellera pour toujours l'amitié entre le plus brave des papooses et le mustang plus rapide que le vent.","Yakari, le film"
,Fathia Youssouf|Medina El Aidi|Esther Gohourou|Ilanah|Myriam Hamma|Demba Diaw|Maïmouna Gueye|Therese M'Bissine Diop,Maimouna Doucouré,Bac Films,95,36415,258022,Comédie|Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/20/08/24/09/36/5981334.jpg,France,2020-08-19,"Amy, 11 ans, rencontre un groupe de danseuses appelé : « Les Mignonnes ». Fascinée, elle s’initie à une danse sensuelle, dans l’espoir d’intégrer leur bande et de fuir un bouleversement familial...",Mignonnes
,Gavril Dartevelle|Guillaume De Tonquédec|Anne Marivin|Ramzy Bedia|Daniel Prévost|Pauline Clément|Jean-François Cayrey|Isabelle Candelier,Pascal Bourdiaux,SND,84,205528,255535,Comédie,https://fr.web.img4.acsta.net/c_310_420/pictures/20/06/08/12/13/4494723.jpg,France,2020-08-05,"A l’école, Toto est bien plus doué pour faire rire ses copains qu’écouter les leçons de la maîtresse. Avec ses parents aussi, les blagues de Toto se transforment souvent en catastrophes… La dernière en date ? La chute d’une sculpture pendant un évènement organisé par le patron de son père. Mais cette fois-ci, Toto assure qu’il est innocent et refuse d’être accusé d’une bêtise que pour une fois, il n’a pas faite ! Avec ses meilleurs amis, il va mener l’enquête.",Les Blagues de Toto
,Dan Stevens|Alison Brie|Sheila Vand|Jeremy Allen White|Toby Huss|Anthony Molinari,Dave Franco,Metropolitan FilmExport,88,45458,272483,Epouvante-horreur|Thriller,https://fr.web.img5.acsta.net/c_310_420/pictures/20/07/20/11/16/0576775.jpg,U.S.A.,2020-08-19,"Deux couples louent une sublime maison face à l’océan pour un week-end de fête. Les quatre amis comprennent très vite que derrière la beauté de l’endroit, un danger les guette : une présence mystérieuse semble les espionner et révèle des secrets inavouables sur chacun d’eux. La tension monte et le week-end de rêve va virer au cauchemar absolu…",The Rental
,Sandrine Bonnaire|Brigitte Roüan|Aure Atika|Sarah Stern|Kenza Fortas|Lucie Fagedet|Nadège Beausson-Diagne|Stéphane Debac,Marion Laine,Pyramide Distribution,91,42534,270880,Comédie dramatique,https://fr.web.img3.acsta.net/c_310_420/pictures/20/04/08/09/18/5698805.jpg,France,2020-08-12,"Jeanne travaille comme auxiliaire dans une maternité de Marseille. Nuit et jour, Jeanne et ses collègues se battent pour défendre les mères et leurs bébés face au manque d’effectif et à la pression permanente de leur direction. Jeanne vit avec Zoé, sa fille de 18 ans, qu’elle élève seule. Lorsqu’un drame survient à la maternité et que Zoé part étudier à Paris, le passé secret de Jeanne resurgit soudain et la pousse à affirmer ses choix de vie.",Voir le jour
,Mariko Tsutsui|Mikako Ichikawa|Sosuke Ikematsu|Hisako Okata|Mitsuru Fukikoshi|Miyû Ogawa|Ren Sudo,Kôji Fukada,Art House,104,27767,271952,Drame|Thriller,https://fr.web.img5.acsta.net/c_310_420/pictures/20/05/07/16/57/5922723.jpg,Japon|France,2020-08-05,"Ichiko est infirmière à domicile. Elle travaille au sein d'une famille qui la considère depuis toujours comme un membre à part entière. Mais lorsque la cadette de la famille disparaît, Ichiko se trouve suspectée de complicité d'enlèvement. En retraçant la chaîne des événements, un trouble grandit : est-elle coupable ? Qui est-elle vraiment ?",L'Infirmière
,Anna Kendrick|Justin Timberlake|Rachel Bloom|James Corden|Ron Funches|Kelly Clarkson|Sam Rockwell|Anderson .Paak|Vitaa|Matt Pokora|Vegedream,David P. Smith|Walt Dohrn,Universal Pictures International France,94,419574,251303,Animation|Comédie|Musical,https://fr.web.img3.acsta.net/c_310_420/pictures/20/12/04/11/43/5464495.jpg,U.S.A.,2020-10-14,"Reine Barb, membre de la royauté hard-rock, aidée de son père Roi Thrash, veut détruire tous les autres genres de musique pour laisser le rock régner en maître. Le destin du monde en jeu, Poppy et Branch, accompagnés de leurs amis – Biggie, Chenille, Satin, Cooper  et Guy Diamond – partent visiter tous les autres territoires pour unifier les Trolls contre Barb, qui cherche à tous les reléguer au second-plan.",Les Trolls 2 - Tournée mondiale
,Omar Sy|Virginie Efira|Grégory Gadebois|Payman Maadi|Elisa Lasowski|Anne-Pascale Clairembourg|Thierry Levaret|Keyvan Khojandi,Anne Fontaine,StudioCanal,99,84682,267302,Drame|Thriller,https://fr.web.img5.acsta.net/c_310_420/pictures/20/08/18/08/26/5562385.jpg,France,2020-09-02,"Virginie, Erik et Aristide, trois flics parisiens, se voient obligés d’accepter une mission inhabituelle : reconduire un étranger à la frontière. Sur le chemin de l’aéroport, Virginie comprend que leur prisonnier risque la mort s’il rentre dans son pays. Face à cet insoutenable cas de conscience, elle cherche à convaincre ses collègues de le laisser s’échapper.",Police
,Gerard Butler|Morena Baccarin|David Denman|Hope Davis|Roger Dale Floyd|Andrew Bachelor|Merrin Dungey|Holt McCallany,Ric Roman Waugh,Metropolitan FilmExport,120,193402,264720,Action|Drame|Thriller,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/25/16/30/0065268.jpg,U.S.A.,2020-08-05,"Une comète est sur le point de s’écraser sur la Terre et de provoquer un cataclysme sans précédent. John Garrity décide de se lancer dans un périlleux voyage avec son ex-épouse Allison et leur fils Nathan pour rejoindre le dernier refuge sur Terre à l’abri du désastre. Alors que l’urgence devient absolue et que les catastrophes s’enchainent de façon effrénée, les Garrity vont être témoin du meilleur comme du pire de la part d’une humanité paniquée au milieu de ce chaos.",Greenland - Le dernier refuge
,Kylian Trouillard|Alexis Victor|Marie Chevalot|Frédéric Souterelle|Sébastien Desjours|Xavier Fagnon|Clara Quilichini|Dino Andrade|Kylian Trouillard,Ben Stassen|Jérémie Degruson,Apollo Films,89,84767,268934,Aventure|Animation|Comédie|Famille,https://fr.web.img3.acsta.net/c_310_420/pictures/20/06/23/11/55/2307228.jpg,Belgique|France,2020-08-05,"Depuis son retour en ville, Bigfoot est devenu la star des médias. Au grand dam de son fils Adam qui rêvait d'une vie de famille paisible. L'adolescent essaye de dompter les incroyables pouvoirs hérités de son père et trouve réconfort auprès de la folle ménagerie abritée sous son toit.",Bigfoot Family
,Casey Affleck|Anna Pniowsky|Elisabeth Moss|Tom Bower|Timothy Webber|Hrothgar Mathews|Kory Grim|Patrick Keating,Casey Affleck,Condor Distribution,119,56109,250139,Drame|Science Fiction,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/26/14/52/0305145.jpg,U.S.A.,2020-08-12,"Dans un futur proche où la population féminine a été éradiquée, un père tâche de protéger Rag, sa fille unique, miraculeusement épargnée. Dans ce monde brutal dominé par les instincts primaires, la survie passe par une stricte discipline, faite de fuite permanente et de subterfuges. Mais il le sait, son plus grand défi est ailleurs: alors que tout s'effondre, comment maintenir l'illusion d'un quotidien insouciant et préserver la complicité fusionnelle avec sa fille ?",Light of my Life
,Paul Kircher|Inès d'Assomption|Ramzy Bedia|Vincent Macaigne|Sophie-Marie Larrouy|Renély Alfred|Max Fidèle|Théo Gross,Adeline Picault,Pathé,98,109661,275360,Comédie,https://fr.web.img4.acsta.net/c_310_420/pictures/20/06/11/18/19/5648127.jpg,France,2020-07-29,"Arthur, 15 ans, a un coup de foudre pour Ouassima, qui ne le regarde même pas… Alors que lui n’a jamais pécho, elle sort avec Matt, le beau gosse du collège. Pour s’approcher d’elle, Arthur rassemble une bande de losers célibataires et lui propose de leur donner des cours de péchotage, à 10 euros la leçon. Dans les vestiaires de la piscine, débute alors un long apprentissage intime et collectif sur « les filles et l’amour : mode d’emploi ».",T’as pécho ?
,Arnaud Ducret|François-Xavier Demaison|Audrey Fleurot|Caroline Anglade|Youssef Hajdi|Grégoire Bonnet|Michaël Youn|Ornella Fleury,Michaël Youn,SND,108,242669,265572,Comédie,https://fr.web.img4.acsta.net/c_310_420/pictures/20/01/20/17/10/3599307.jpg,France,2020-07-14,"Après 5 ans de mariage, Ben est toujours aussi éperdument amoureux. Jusqu’au jour où il découvre en public que sa femme le trompe : humilié et plaqué dans la foulée ! Abattu et lâché par ses proches, Ben peine à remonter la pente jusqu’à ce qu’il croise le chemin de Patrick, un ancien ami lui aussi divorcé qui lui propose d’emménager chez lui. Patrick, au contraire de Ben, entend bien profiter de son célibat retrouvé et de tous les plaisirs auxquels il avait renoncé durant son mariage. Bientôt rejoints par d’autres divorcés, les fêtards quarantenaires ébauchent les premières règles du "" Divorce Club ""…",Divorce Club
,Dave Davis|Menashe Lustig|Malky Goldman|Lynn Cohen|Fred Melamed|Ronald Cohen|Nati Rabinowitz|Moshe Lobel,Keith Thomas (II),Goodfellas,90,36359,277707,Epouvante-horreur,https://fr.web.img2.acsta.net/c_310_420/pictures/20/07/06/13/29/0667692.jpg,U.S.A.,2020-07-29,"New York, Brooklyn. Après avoir quitté la communauté juive orthodoxe, Yakov, à court d’argent comme de foi, accepte à contrecœur d’assurer la veillée funèbre d’un membre décédé de ce groupe religieux. Avec la dépouille du défunt pour seule compagnie, il se retrouve bientôt confronté à des phénomènes de plus en plus inquiétants…",The Vigil
,Elsa Zylberstein|Lucien Jean-Baptiste|Ioni Matos|Hélène Vincent|Max Boublil|Tania Garbarski|Stéphanie Crayencour|Roger van Hool,Solange Cicurel,Orange Studio Distribution / UGC Distribution,91,69567,268971,Comédie,https://fr.web.img2.acsta.net/c_310_420/pictures/20/06/18/10/31/3142442.jpg,France|Belgique,2020-07-22,Emma et Victor sont les parents de Lila.,Adorables
,Lila Gueneau|Alice Pol|Clovis Cornillac|Nils Othenin-Girard|Gregori Derangère|Wladimir Yordanoff|Niseema Theillaud|Paul Birchard,Pierre Coré,Pathé / Orange Studio,86,85675,269071,Comédie|Famille,https://fr.web.img5.acsta.net/c_310_420/pictures/20/06/10/17/12/3340450.jpg,France,2020-07-14,"Marguerite et Margot ont toutes les deux douze ans, avec chacune sa famille, ses copains, ses problèmes... Et son époque. Car l’une vit en 1942 et l’autre en 2018. Mais c’est sans compter sur une mystérieuse malle magique qui les transporte chacune dans l’époque de l’autre. Margot et Marguerite ont un autre point commun : leur père n’est plus là, disparu en pleine 2ème Guerre Mondiale ou n’habitant plus à la maison. À 70 ans d’écart, elles se lancent dans une grande aventure pour retrouver leurs présents, explorant l’Histoire, mais aussi la mémoire de leurs familles.",L'Aventure des Marguerite
,Jean-Pascal Zadi|Caroline Anglade|Fary|Lilian Thuram|Claudia Tagbo|Cyril Hanouna|JoeyStarr|Vikash Dhorasoo,Jean-Pascal Zadi|John Wax,Gaumont Distribution,90,255537,277532,Comédie,https://fr.web.img5.acsta.net/c_310_420/pictures/20/03/03/12/19/2773827.jpg,France,2020-07-08,"JP, un acteur raté de 40 ans, décide d’organiser la première grosse marche de contestation noire en France, mais ses rencontres, souvent burlesques, avec des personnalités influentes de la communauté et le soutien intéressé qu’il reçoit de Fary, le font osciller entre envie d’être sur le devant de la scène et véritable engagement militant...",Tout Simplement Noir
,Catherine Deneuve|Vincent Dedienne|Alice Belaïdi|Jonathan Cohen|Patrick Descamps|Estéban|Stéphan Beauregard|Jonas Dinal,Hugo Benamozig|David Caviglioli,Apollo Films,91,83427,274312,Aventure|Comédie,https://fr.web.img2.acsta.net/c_310_420/pictures/20/07/08/12/33/5415700.jpg,France,2020-07-29,"Eliott, anthropologue un peu naïf, s'enfonce dans la jungle guyanaise pour étudier les Otopis. Ils découvre une tribu de brigands de mèche avec des trafiquants d'or, très éloignée de ce qu'il imaginait. Pendant ce temps, sa mère, Chantal de Bellabre, femme tyrannique et possessive, trouve que son fils met trop de temps à rentrer et décide de le rejoindre. Avec le peloton de gendarmerie local, dirigé par l'incapable lieutenant-colonel François-Yves Raspaillès, elle organise une expédition pour retrouver Eliott.",Terrible Jungle
,Anders Matthesen|Emma Sehested Høeg|Facundo Reyes|Ava Connolly|Emmet Ryan|Alfred Bjerre Larsen|Stéphane Ronchewski|Adeline Chetail|Marie Chevalot|Aloïs Agaësse-Mahieu,Anders Matthesen|Thorbjørn Christoffersen,Alba Films,81,58314,273492,Aventure|Animation|Comédie,https://fr.web.img5.acsta.net/c_310_420/pictures/20/05/04/09/18/1036732.jpg,Danemark,2020-07-15,"Le jeune Alex, élève en classe de 5ème, vit dans une famille recomposée. Pour son anniversaire, il reçoit de la part de son oncle excentrique, de retour de Thaïlande, une poupée Ninja vêtue d’un étrange tissu à carreaux. Alex découvre que le jouet s’anime et qu’il parle !",Mon ninja et moi
,Félix Lefebvre|Benjamin Voisin|Philippine Velge|Valeria Bruni Tedeschi|Melvil Poupaud|Isabelle Nanty|Laurent Fernandez|Aurore Broutin,François Ozon,Diaphana Distribution,101,137684,274837,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/20/06/17/10/50/0315921.jpg,France|Belgique,2020-07-14,"L'été de ses 16 ans, lors d'une sortie en mer sur la côte normande, Alexis est sauvé héroïquement du naufrage par David, 18 ans. Alexis vient de rencontrer l'ami de ses rêves. Mais le rêve durera-t-il plus qu'un été ? L'été 85... Le film fait partie de la Sélection Officielle Cannes 2020.",Eté 85
,James Norton|Vanessa Kirby|Peter Sarsgaard|Joseph Mawle|Kenneth Cranham|Celyn Jones|Krzysztof Pieczynski|Fenella Woolgar,Agnieszka Holland,Condor Distribution,118,67452,254025,Biopic|Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/20/02/13/16/20/3828413.jpg,Pologne|Grande-Bretagne|Ukraine,2020-06-22,"Pour un journaliste débutant, Gareth Jones ne manque pas de culot. Après avoir décroché une interview d’Hitler qui vient tout juste d’accéder au pouvoir, il débarque en 1933 à Moscou, afin d'interviewer Staline sur le fameux miracle soviétique. A son arrivée, il déchante : anesthésiés par la propagande, ses contacts occidentaux se dérobent, il se retrouve surveillé jour et nuit, et son principal intermédiaire disparaît. Une source le convainc alors de s'intéresser à l'Ukraine. Parvenant à fuir, il saute dans un train, en route vers une vérité inimaginable...",L'Ombre de Staline
,Emmanuelle Devos|Grégory Montel|Gustave Kervern|Sergi López|Zélie Rixhon|William Sciortino|Pauline Moulène|Sacha Bourdo,Grégory Magne,Pyramide Distribution,101,121018,269023,Comédie,https://fr.web.img2.acsta.net/c_310_420/pictures/20/02/14/16/41/4740963.jpg,France,2020-07-01,"Anne Walberg est une célébrité dans le monde du parfum. Elle crée des fragrances et vend son incroyable talent à des sociétés en tout genre. Elle vit en diva, égoïste, au tempérament bien trempé. Guillaume est son nouveau chauffeur et le seul qui n’a pas peur de lui tenir tête. Sans doute la raison pour laquelle elle ne le renvoie pas.",Les Parfums
,Dakota Johnson|Tracee Ellis Ross|Kelvin Harrison Jr.|Bill Pullman|Zoe Chao|June Diane Raphael|Marc Evan Jackson|Eugene Cordero,Nisha Ganatra,Universal Pictures International France,114,22418,274394,Drame|Musical|Romance,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/19/09/23/1563449.jpg,U.S.A.,2020-07-14,"Grace Davis est une superstar de la musique à l’ego surdimensionné mais proportionnel à son talent. Son assistante personnelle, Maggie, s'affaire à des tâches ingrates alors qu’elle rêve depuis qu’elle est enfant de devenir productrice de musique. Lorsque le manager de Grace lui fait une proposition qui pourrait transformer sa carrière, elle et Grace élaborent un plan qui pourrait changer leur vie pour toujours.",La Voix du succès
,Emilie Koppel|Alberte Winding|Rasmus Botoft|Caroline Vedel Larsen|Martin Buch|Ditte Hansen|Stig Hoffmeyer|Kim Hagen Jensen|Audrey D'Hulstère|Lola Dubini|Steve Driesen|Esther Aflalo|Maxime Donnay|Nathalie Hugo|Daniel Nicodéme|Claire Tefnin,Tonni Zinck|Kim Hagen Jensen,KMBO,81,54087,279612,Animation|Famille,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/04/17/31/4951201.jpg,Danemark,2020-07-29,"Emma est une jeune fille qui partage sa chambre avec Coco son cochon d’Inde. Une nuit, dans son sommeil, elle bascule dans un monde merveilleux. Elle découvre alors qu’elle a le pouvoir d’entrer dans le monde des rêves et de changer le futur. Sa vie devient extraordinaire ! Jusqu’au jour où revenir dans le monde réel s’avère plus compliqué que prévu…",Dreams
,Chloë Grace Moretz|Sam Claflin|Simon Kassianides|Frederik Hamel|Nolan North|Gina Gershon|Jim Rash|Patrick Warburton|Melha Bedia|Clément Moreau|Thibaut Belfodil|Pascal Nowak|Nathanel Alimi|Emmanuelle Bondeville|Julien Allouf|Frantz Confiac,Hong Sung-Ho,ARP Sélection,92,41044,256380,Animation|Famille,https://fr.web.img5.acsta.net/c_310_420/pictures/20/06/29/11/04/2577872.jpg,Corée du Sud,2020-07-29,"Des princes transformés en nains viennent à l’aide d’une princesse dont la beauté est cachée dans ses souliers. Ici, le conte de fées s’amuse de notre obsession du paraître. Mais comme dans tous les contes, c’est l’amour qui sauvera tous les personnages.","Blanche Neige, les souliers rouges et les sept nains"
,Marta Nieto|Jules Porier|Alex Brendemühl|Anne Consigny|Frédéric Pierrot|Guillaume Arnault|Álvaro Balas|Raúl Prieto,Rodrigo Sorogoyen,Le Pacte,129,30484,273345,Drame|Thriller,https://fr.web.img3.acsta.net/c_310_420/pictures/20/07/23/15/36/3376214.jpg,Espagne|France,2020-07-22,"Dix ans se sont écoulés depuis que le fils d’Elena, alors âgé de 6 ans, a disparu. Dix ans depuis ce coup de téléphone où seul et perdu sur une plage des Landes, il lui disait qu’il ne trouvait plus son père. Aujourd’hui, Elena y vit et y travaille dans un restaurant de bord de mer. Dévastée depuis ce tragique épisode, sa vie suit son cours tant bien que mal. Jusqu’à ce jour où elle rencontre un adolescent qui lui rappelle furieusement son fils disparu…",Madre
,Sara Forestier|Noémie Lvovsky|Annabelle Lengronne|Jonas Bloquet|Sergi López|Nicolas Cazalé|Salomé Dewaels|Els Deceukelier,Frédéric Fonteyne|Anne Paulicevich,KMBO,91,28192,263796,Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/20/05/29/17/31/1294494.jpg,Belgique|France,2020-06-22,"Axelle, Dominique et Conso partagent un secret. Elles mènent une double vie. Elles se retrouvent tous les matins sur le parking de la cité pour prendre la route et aller travailler de l’autre côté de la frontière. Là, elles deviennent Athéna, Circé et Héra dans une maison close. Filles de joie, héroïnes du quotidien, chacune se bat pour sa famille, pour garder sa dignité. Mais quand la vie de l’une est en danger, elles s’unissent pour faire face à l’adversité.",Filles de joie
,Park So-Dam|Park Chul-min|Lee Joon-hyuk|Do Kyungsoo|Claire Tefnin|Franck Dacquin|Steve Driesen|Nicolas Matthys,Oh Sung-yoon|Lee Choon-Baek,The Jokers / Les Bookmakers,102,22113,275563,Animation,https://fr.web.img6.acsta.net/c_310_420/pictures/19/10/16/16/19/2648253.jpg,Corée du Sud,2020-06-22,"Le chien est le meilleur ami de l’homme. Affectueux, fidèle… mais lorsqu’il vieillit ou se comporte mal, il est parfois abandonné comme un mouchoir souillé. Et lorsqu’il se retrouve seul face à la nature, l’instinct animal et l’esprit de meute reprennent le dessus. Solidaire, déterminée, notre petite bande de chiens errants va peu à peu réapprendre à se débrouiller seule. Et découvrir la liberté, au cours d’un extraordinaire voyage.","Nous, les chiens"
,Do-Yeon Jeon|Woo-Sung Jung|Seong-woo Bae|Yuh-Jung Youn|Man-Sik Jeong|Hyon-Bin Shin|Ga-ram Jung|Ji-hwan Park,Yong-hoon Kim,Wild Bunch Distribution,108,34808,282031,Drame|Thriller,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/15/10/57/2331896.jpg,Corée du Sud,2020-07-08,"Un corps retrouvé sur une plage, un employé de sauna, un douanier peu scrupuleux, un prêteur sur gage et une hôtesse de bar qui n’auraient jamais dû se croiser. Mais le sort en a décidé autrement en plaçant sur leur route un sac rempli de billets, qui bouleversera leur destin. Arnaques, trahisons et meurtres : tous les coups sont permis pour qui rêve de nouveaux départs…",Lucky Strike
,Tom Holland|Chris Pratt|Julia Louis-Dreyfus|Octavia Spencer|Mel Rodriguez|Ali Wong|Lena Waithe|Tracey Ullman|Thomas Solivérès|Pio Marmaï,Dan Scanlon,The Walt Disney Company France,102,515381,251353,Animation|Fantastique,https://fr.web.img6.acsta.net/c_310_420/pictures/20/01/06/14/00/1992182.jpg,U.S.A.,2020-03-04,"Dans la banlieue d'un univers imaginaire, deux frères elfes se lancent dans une quête extraordinaire pour découvrir s'il reste encore un peu de magie dans le monde.",En avant
,Rosamund Pike|Sam Riley|Aneurin Barnard|Simon Russell Beale|Katherine Parkinson|Sian Brooke|Anya Taylor-Joy|Jonathan Aris,Marjane Satrapi,Studio Canal,110,36738,254043,Biopic|Drame|Romance,https://fr.web.img6.acsta.net/c_310_420/pictures/20/02/07/14/08/2787082.jpg,Grande-Bretagne,2020-03-11,"Paris, fin du 19ème siècle. Marie est une scientifique passionnée, qui a du mal à imposer ses idées et découvertes au sein d’une société dominée par les hommes. Avec Pierre Curie, un scientifique tout aussi chevronné, qui deviendra son époux, ils mènent leurs recherches sur la radioactivité et finissent par découvrir deux nouveaux éléments : le radium et le polonium. Cette découverte majeure leur vaut le prix Nobel et une renommée internationale. Mais après un tragique accident, Marie doit continuer ses recherches seule et faire face aux conséquences de ses découvertes sur le monde moderne…",Radioactive
,Robert Kazinsky|Peter Jason|Florence Faivre|Caden Dragomer|Hannah Ward|Douglas Spain|Eileen Dietz|Margarita Reyes,Pearry Reginald Teo,Alba Films,88,39963,275861,Epouvante-horreur,https://fr.web.img5.acsta.net/c_310_420/pictures/20/02/12/17/00/3510234.jpg,U.S.A.,2020-06-22,"Après trois années passées en prison pour la mort d’un enfant lors d’une séance d’exorcisme qui a mal tournée, le Père Lambert cherche sa rédemption auprès de Joel, un jeune père de famille qui soupçonne son fils d’être possédé...",The Demon Inside
,Franck Dubosc|Aure Atika|Alexis Michalik|Alice David|Héléna Noguerra|Laurent Bateau|Swann Joulin|Marc Bodnar,Ludovic Bernard,StudioCanal,98,541102,273882,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/19/12/24/11/26/5091620.jpg,France,2020-02-19,"Antoine, DRH d'une grande enseigne de bricolage, est en passe de devenir le numéro 1 de sa boîte. C'est le moment que choisit sa femme, Isabelle, pour faire une pause et prendre l'air quelques jours pour s'occuper d'elle. Antoine se retrouve alors seul à devoir gérer la maison et leurs quatre enfants. Il est vite dépassé par les événements ! 10 jours sans maman qui risquent bien de faire capoter sa nomination.",10 jours sans maman
,Elisabeth Moss|Oliver Jackson-Cohen|Harriet Dyer|Aldis Hodge|Storm Reid|Michael Dorman|Benedict Hardie|Renee Lim,Leigh Whannell,Universal Pictures International France,125,349741,129473,Fantastique|Epouvante-horreur|Thriller,https://fr.web.img4.acsta.net/c_310_420/pictures/20/02/10/13/26/1423227.jpg,U.S.A.,2020-02-26,"Cecilia Kass est en couple avec un brillant et riche scientifique. Ne supportant plus son comportement violent et tyrannique, elle prend la fuite une nuit et se réfugie auprès de sa sœur, leur ami d'enfance et sa fille adolescente.",Invisible Man
,Mark Ruffalo|Anne Hathaway|Tim Robbins|Bill Camp|Victor Garber|Mare Winningham|William Jackson Harper|Bill Pullman,Todd Haynes,Le Pacte,128,158301,269509,Biopic|Drame,https://fr.web.img4.acsta.net/c_310_420/pictures/20/01/23/14/05/1683095.jpg,U.S.A.,2020-02-26,"Robert Bilott est un avocat spécialisé dans la défense des industries chimiques. Interpellé par un paysan, voisin de sa grand-mère, il va découvrir que la campagne idyllique de son enfance est empoisonnée par une usine du puissant groupe chimique DuPont, premier employeur de la région. Afin de faire éclater la vérité sur la pollution mortelle due aux rejets toxiques de l’usine, il va risquer sa carrière, sa famille, et même sa propre vie...",Dark Waters
52000000USD,Donnie Yen|Scott Adkins|Danny Kwok-Kwan Chan|Vanness Wu|Yue Wu|Chris Collins (LV)|Jim Liu|Kent Cheng,Wilson Yip,Eurozoom,105,58408,250664,Action|Biopic|Drame|Arts Martiaux,https://fr.web.img3.acsta.net/c_310_420/pictures/20/06/25/13/26/4560562.jpg,Hong-Kong|Chine,2020-07-22,"Dans le dernier opus de la saga mythique, Ip Man se rend aux Etats-Unis à la demande de Bruce Lee afin d'apaiser les tensions entre les maîtres locaux du Kung-fu et son protégé. Il se retrouve très vite impliqué dans un différend raciste entre les forces armées locales et une école d'arts martiaux chinoise établie dans le quartier de Chinatown à San Francisco. Dans une apothéose de combats ultra-maîtrisés, avec la grâce et la sérénité qui le caractérisent, Donnie Yen donne vie, pour la première fois sur grand écran en France, au légendaire maître chinois de Wing Chun. ",Ip Man 4 : Le dernier combat
